,filename,width,height,file_size_kb,word_count,char_count,laplacian_variance,brightness,contrast,is_grayscale
0,Class_11_Figure 1.1.png,246,540,21.59,27,175,2599.32,241.67,30.14,False
1,Class_11_Figure 10.1.png,397,419,157.12,18,104,1936.53,227.69,51.92,False
2,Class_11_Figure 10.2a.png,256,438,59.12,4,30,4657.53,226.5,42.2,False
3,Class_11_Figure 10.2b.png,286,516,53.7,15,87,4796.4,235.82,35.82,False
4,Class_11_Figure 10.2c.png,253,292,23.36,0,0,3908.19,233.74,35.32,False
5,Class_11_Figure 10.2d.png,259,298,23.2,0,0,3377.83,236.02,35.72,False
6,Class_11_Figure 10.2e.png,278,368,41.94,17,85,3438.52,234.73,34.59,False
7,Class_11_Figure 10.3.png,766,392,110.29,17,94,3631.08,234.19,34.53,False
8,Class_11_Figure 10.4.png,775,443,143.5,16,92,4433.6,232.37,37.49,False
9,Class_11_Figure 11.10.png,296,292,14.37,17,111,3372.37,249.0,27.42,False
10,"Class_11_Figure 11.1a,b,c,d.png",530,820,117.45,8,55,3790.97,239.29,46.27,False
11,Class_11_Figure 11.2.png,953,461,127.95,26,201,4756.16,222.55,47.49,False
12,Class_11_Figure 11.3a.png,460,280,31.55,10,76,3598.24,217.66,39.34,False
13,Class_11_Figure 11.3b.png,471,283,26.64,9,53,3897.16,224.07,41.39,False
14,Class_11_Figure 11.3c.png,390,281,24.71,24,117,5319.66,216.94,44.64,False
15,Class_11_Figure 11.4.png,423,389,53.74,10,76,3356.2,235.4,41.87,False
16,Class_11_Figure 11.5.png,440,410,50.63,16,91,4040.47,237.35,40.91,False
17,Class_11_Figure 11.6.png,400,387,32.39,6,55,2976.22,241.57,36.79,False
18,Class_11_Figure 11.7.png,836,671,548.14,25,179,1813.93,227.0,54.61,False
19,Class_11_Figure 11.8.png,700,751,274.25,87,555,2873.01,243.79,32.88,False
20,Class_11_Figure 11.9.png,778,706,545.1,25,178,1361.42,224.91,46.87,False
21,Class_11_Figure 12.1.png,390,726,116.46,48,345,3089.76,218.62,29.97,False
22,Class_11_Figure 12.2.png,394,467,34.12,32,223,4682.85,240.87,36.29,False
23,Class_11_Figure 12.3.png,428,431,67.16,46,252,4033.9,244.88,35.15,False
24,Class_11_Figure 12.4.png,434,738,234.65,37,278,2487.61,222.45,51.58,False
25,Class_11_Figure 12.5.png,421,356,62.19,19,133,2554.8,242.88,33.25,False
26,Class_11_Figure 12.6.png,763,639,75.09,57,399,3742.88,240.88,34.84,False
27,Class_11_Figure 13.1.png,730,461,236.47,11,79,8669.45,217.75,47.06,False
28,Class_11_Figure 13.10.png,404,279,80.21,35,167,4137.86,239.6,38.23,False
29,Class_11_Figure 13.11.png,407,392,74.05,37,199,8525.5,240.83,40.15,False
30,Class_11_Figure 13.2.png,380,555,46.85,41,281,4863.43,241.5,41.02,False
31,Class_11_Figure 13.3.png,383,297,35.56,28,155,7407.17,241.3,42.06,False
32,Class_11_Figure 13.4.png,695,647,270.84,53,345,2198.05,242.45,36.05,False
33,Class_11_Figure 13.5.png,369,471,16.65,18,97,3009.91,246.18,27.02,False
34,Class_11_Figure 13.6.png,361,408,38.35,44,191,4423.71,245.56,35.87,False
35,Class_11_Figure 13.7.png,694,386,61.24,30,171,4177.49,240.39,37.61,False
36,Class_11_Figure 13.8.png,771,314,36.01,23,179,3478.22,244.81,37.76,False
37,Class_11_Figure 13.9.png,607,459,71.95,17,116,3942.52,239.77,39.39,False
38,Class_11_Figure 14.1.png,725,477,154.33,28,178,5585.61,235.57,45.49,False
39,Class_11_Figure 14.2a.png,398,367,45.56,0,0,6552.11,228.13,59.3,False
40,Class_11_Figure 14.2b.png,421,430,71.09,30,202,6684.9,233.02,53.65,False
41,Class_11_Figure 14.3.png,732,544,89.32,48,294,4374.72,243.0,39.4,False
42,Class_11_Figure 14.4.png,436,320,66.41,20,131,7922.5,236.73,45.03,False
43,Class_11_Figure 14.5.png,398,432,39.07,29,159,7207.39,238.48,39.88,False
44,Class_11_Figure 15.1.png,775,218,70.0,29,175,3824.76,234.05,46.3,False
45,Class_11_Figure 15.2.png,645,513,275.98,13,98,3516.18,209.21,71.59,False
46,Class_11_Figure 15.3.png,385,214,11.7,8,56,2734.68,242.27,29.47,False
47,Class_11_Figure 15.4.png,593,404,71.79,24,161,3974.23,239.93,44.05,False
48,Class_11_Figure 16.1.png,394,428,64.37,7,48,5250.72,234.31,49.1,False
49,Class_11_Figure 16.2.png,412,398,100.08,8,69,7869.94,224.36,54.75,False
50,Class_11_Figure 16.3.png,685,507,87.06,43,310,4566.22,240.8,44.01,False
51,Class_11_Figure 16.4.png,386,393,53.56,15,133,6197.57,218.63,64.47,False
52,Class_11_Figure 16.5.png,678,677,93.9,34,228,3028.98,211.29,32.95,False
53,Class_11_Figure 16.6.png,767,695,145.98,28,219,4111.94,227.89,58.11,False
54,Class_11_Figure 17.1.png,693,444,122.31,25,182,4394.74,231.08,45.72,False
55,Class_11_Figure 17.10.png,403,455,50.37,22,155,5296.44,244.95,36.4,False
56,Class_11_Figure 17.2.png,691,636,487.32,25,154,1761.3,193.52,86.62,False
57,Class_11_Figure 17.3a.png,630,139,68.15,0,0,6583.72,231.5,48.8,False
58,Class_11_Figure 17.3b.png,599,241,43.45,20,128,3889.58,244.44,35.17,False
59,Class_11_Figure 17.4.png,770,449,131.04,22,153,3412.85,233.63,48.61,False
60,Class_11_Figure 17.5.png,729,595,67.52,43,238,5016.88,237.31,38.14,False
61,Class_11_Figure 17.6.png,651,467,114.86,15,105,5158.39,234.58,38.54,False
62,Class_11_Figure 17.7.png,403,470,81.43,15,127,5848.08,243.23,34.94,False
63,Class_11_Figure 17.8.png,452,377,237.15,6,30,4988.89,217.34,60.66,False
64,Class_11_Figure 17.9.png,392,506,48.08,13,92,5318.51,245.41,35.4,False
65,Class_11_Figure 18.1.png,347,601,69.19,24,167,5543.16,241.74,41.05,False
66,Class_11_Figure 18.2.png,678,358,28.58,19,107,3072.31,239.35,46.54,False
67,Class_11_Figure 18.3.png,542,435,104.47,21,145,6941.29,223.31,49.12,False
68,Class_11_Figure 18.4.png,631,438,341.77,16,118,3452.25,224.39,51.48,False
69,Class_11_Figure 19.1.png,429,573,76.94,23,167,4505.82,235.98,41.14,False
70,Class_11_Figure 19.2.png,392,502,72.35,19,177,5515.87,229.08,49.3,False
71,Class_11_Figure 19.3a.png,352,365,39.22,0,0,4339.58,234.26,38.79,False
72,Class_11_Figure 19.3b.png,340,454,62.77,17,106,5418.39,236.13,40.91,False
73,Class_11_Figure 19.4a.png,247,414,61.03,4,27,2168.54,232.77,40.46,False
74,Class_11_Figure 19.4b.png,401,429,144.0,5,37,2325.27,217.3,52.25,False
75,Class_11_Figure 19.5a.png,743,464,73.49,28,203,3874.71,237.75,36.14,False
76,Class_11_Figure 19.5b.png,730,637,96.92,42,306,3750.62,239.28,33.33,False
77,Class_11_Figure 2.1.png,786,269,56.98,16,95,3767.99,244.44,36.98,False
78,Class_11_Figure 2.2.png,313,423,73.37,12,87,5075.51,240.94,37.53,False
79,Class_11_Figure 2.3.png,379,290,53.7,5,32,10379.73,230.36,55.59,False
80,Class_11_Figure 2.4a.png,227,303,81.85,0,0,4204.82,216.66,69.25,False
81,Class_11_Figure 2.4b.png,278,180,57.3,1,4,953.49,237.26,32.94,False
82,Class_11_Figure 2.4c.png,229,207,54.68,1,4,777.03,231.92,36.16,False
83,Class_11_Figure 2.4d.png,297,296,81.92,11,75,3185.29,233.06,42.66,False
84,Class_11_Figure 2.5a.png,266,228,93.33,0,0,712.5,183.16,52.35,False
85,Class_11_Figure 2.5b.png,274,205,74.07,1,4,912.82,191.75,46.66,False
86,Class_11_Figure 2.5c.png,303,350,122.95,9,57,2434.55,219.88,58.73,False
87,Class_11_Figure 2.6a.png,383,380,142.97,0,0,6989.29,225.15,45.6,False
88,Class_11_Figure 2.6b.png,394,402,53.21,3,19,4841.29,240.31,40.99,False
89,Class_11_Figure 3.1.png,609,761,403.7,30,184,4942.04,238.45,41.52,False
90,Class_11_Figure 3.1a.png,364,222,114.0,0,0,9818.05,226.91,56.72,False
91,Class_11_Figure 3.1b.png,574,288,160.97,4,27,3893.05,240.04,33.68,False
92,Class_11_Figure 3.1c.png,512,303,117.72,31,190,5430.11,236.48,46.16,False
93,Class_11_Figure 3.2.png,586,605,165.6,45,348,6115.48,239.7,43.19,False
94,Class_11_Figure 3.3.png,588,743,363.35,20,141,7726.26,223.03,66.02,False
95,Class_11_Figure 3.4.png,260,726,294.29,10,58,4516.7,173.17,65.95,False
96,Class_11_Figure 3.5.png,408,274,178.24,11,67,6607.31,175.46,85.75,False
97,Class_11_Figure 4.10.png,306,419,40.84,9,64,3783.28,241.25,40.56,False
98,Class_11_Figure 4.11.png,350,532,95.92,10,62,5870.36,228.42,53.44,False
99,Class_11_Figure 4.12.png,369,451,127.52,17,96,5729.15,230.19,55.95,False
100,Class_11_Figure 4.13.png,334,403,151.98,11,63,4519.38,225.79,59.29,False
101,Class_11_Figure 4.14.png,252,418,93.22,11,70,3444.21,231.75,53.83,False
102,Class_11_Figure 4.15.png,232,397,50.53,5,44,7202.44,229.11,62.0,False
103,Class_11_Figure 4.16.png,371,191,80.64,12,90,6862.88,215.01,67.77,False
104,Class_11_Figure 4.17.png,230,381,79.66,3,21,1751.51,213.34,68.83,False
105,Class_11_Figure 4.18.png,377,136,53.33,7,46,4163.91,219.77,56.06,False
106,Class_11_Figure 4.19.png,355,298,84.47,11,76,8277.91,227.6,61.38,False
107,Class_11_Figure 4.1a.png,316,307,37.55,6,36,3404.85,233.27,55.67,False
108,Class_11_Figure 4.1b.png,409,345,46.37,5,34,5830.78,229.68,42.09,False
109,Class_11_Figure 4.20.png,296,417,171.66,13,73,6242.81,207.85,77.3,False
110,Class_11_Figure 4.21.png,282,394,112.3,12,69,3864.59,222.81,66.39,False
111,Class_11_Figure 4.22.png,745,317,263.62,15,91,2912.4,212.68,71.62,False
112,Class_11_Figure 4.23.png,713,298,201.2,14,79,4658.42,219.6,71.32,False
113,Class_11_Figure 4.24.png,727,295,204.05,16,101,4699.77,214.92,72.64,False
114,Class_11_Figure 4.2a.png,226,231,32.82,0,0,7660.94,210.57,65.05,False
115,Class_11_Figure 4.2b.png,229,233,38.84,0,0,8219.36,209.46,68.21,False
116,Class_11_Figure 4.3a.png,192,210,30.28,0,0,8692.97,206.42,69.85,False
117,Class_11_Figure 4.3b.png,253,208,34.4,1,14,7475.78,219.37,64.23,False
118,Class_11_Figure 4.3c.png,183,183,34.62,0,0,8415.65,185.92,73.38,False
119,Class_11_Figure 4.4.png,725,436,328.61,54,484,3903.91,232.06,36.8,False
120,Class_11_Figure 4.5.png,373,447,116.49,12,72,5837.98,228.25,44.58,False
121,Class_11_Figure 4.6.png,620,389,120.11,20,122,4106.55,237.15,46.43,False
122,Class_11_Figure 4.7.png,184,267,44.48,6,43,5309.29,232.77,49.84,False
123,Class_11_Figure 4.8.png,259,452,48.06,6,49,6518.31,231.96,48.35,False
124,Class_11_Figure 4.9.png,590,358,59.64,13,76,3524.08,237.55,39.76,False
125,Class_11_Figure 5.1.png,395,520,92.88,16,108,6615.19,239.18,44.13,False
126,Class_11_Figure 5.10.png,749,210,205.27,16,87,3798.13,228.55,49.83,False
127,Class_11_Figure 5.11.png,704,339,192.94,21,115,2877.23,231.03,53.05,False
128,Class_11_Figure 5.12.png,237,907,112.45,20,113,3879.33,237.33,38.16,False
129,Class_11_Figure 5.13.png,438,232,91.97,19,105,5810.48,232.42,52.28,False
130,Class_11_Figure 5.14.png,374,251,53.84,13,102,5113.11,228.92,54.14,False
131,Class_11_Figure 5.15.png,659,355,167.26,21,157,5615.19,237.44,40.08,False
132,Class_11_Figure 5.16.png,330,401,40.34,14,60,6634.53,241.96,39.39,False
133,Class_11_Figure 5.17.png,557,374,147.27,24,136,9321.16,224.52,66.65,False
134,Class_11_Figure 5.2a.png,268,346,47.17,2,14,1746.2,246.67,32.49,False
135,Class_11_Figure 5.2b.png,204,231,55.96,1,4,3197.17,212.29,75.38,False
136,Class_11_Figure 5.2c.png,344,331,198.0,2,20,2101.51,161.72,79.51,False
137,Class_11_Figure 5.3.png,383,356,69.2,17,105,8402.55,237.52,44.56,False
138,Class_11_Figure 5.4a.png,344,226,78.93,6,40,2682.67,204.09,78.06,False
139,Class_11_Figure 5.4b.png,166,325,53.54,1,4,384.66,206.02,70.94,False
140,Class_11_Figure 5.4c.png,140,326,48.6,1,5,350.66,197.01,62.54,False
141,Class_11_Figure 5.5.png,348,325,113.88,17,110,3716.78,228.37,60.08,False
142,Class_11_Figure 5.6.png,362,435,137.6,23,132,2621.68,224.6,64.96,False
143,Class_11_Figure 5.7.png,349,453,243.46,4,34,1639.69,206.19,72.77,False
144,Class_11_Figure 5.8.png,345,228,46.53,4,32,7426.79,236.71,43.02,False
145,Class_11_Figure 5.9.png,694,346,265.09,22,125,3514.25,229.24,51.85,False
146,Class_11_Figure 6.1.png,892,260,250.63,26,200,5684.84,221.35,47.3,False
147,Class_11_Figure 6.2.png,438,778,151.76,22,140,2954.23,225.21,68.82,False
148,Class_11_Figure 6.3a.png,430,418,320.07,8,67,8234.41,197.16,76.1,False
149,Class_11_Figure 6.3b.png,467,489,344.43,19,129,7062.24,202.44,77.07,False
150,Class_11_Figure 6.4a.png,868,505,619.11,22,204,4760.49,214.29,70.98,False
151,Class_11_Figure 6.4b.png,829,375,540.79,9,47,5199.26,191.8,84.35,False
152,Class_11_Figure 6.5a.png,484,398,226.87,18,137,9968.91,201.62,76.63,False
153,Class_11_Figure 6.5b.png,487,373,216.62,18,111,8876.72,210.11,76.19,False
154,Class_11_Figure 7.1.png,348,259,114.19,6,37,4251.71,199.52,82.76,False
155,Class_11_Figure 7.2.png,740,589,133.84,28,223,3968.87,230.22,54.76,False
156,Class_11_Figure 7.3.png,397,383,167.27,14,102,6124.59,228.61,54.44,False
157,Class_11_Figure 7.4.png,410,486,228.01,12,92,4866.43,226.49,56.18,False
158,Class_11_Figure 8.1.png,798,610,171.36,42,280,3655.48,242.07,41.76,False
159,Class_11_Figure 8.10.png,724,390,156.46,30,247,5434.01,234.21,46.23,False
160,Class_11_Figure 8.11.png,439,303,157.2,11,89,2581.15,206.01,51.74,False
161,Class_11_Figure 8.12.png,299,468,103.85,6,53,1215.33,223.14,64.0,False
162,Class_11_Figure 8.13.png,689,416,243.63,15,113,2654.6,239.9,37.69,False
163,Class_11_Figure 8.2.png,400,402,56.0,29,191,9719.59,241.33,43.54,False
164,Class_11_Figure 8.3.png,584,829,280.87,67,523,5769.37,230.52,46.56,False
165,Class_11_Figure 8.4.png,564,363,302.26,14,110,2684.63,222.61,52.7,False
166,Class_11_Figure 8.5.png,302,464,173.16,0,0,8813.54,201.73,62.69,False
167,Class_11_Figure 8.6.png,259,310,71.86,1,10,5456.58,199.01,73.45,False
168,Class_11_Figure 8.7.png,458,271,182.83,17,133,2630.78,208.37,56.58,False
169,Class_11_Figure 8.8.png,349,231,75.2,12,70,10291.22,223.11,51.79,False
170,Class_11_Figure 8.9.png,261,160,50.49,10,58,1779.61,175.32,52.84,False
171,Class_11_Figure 9.1.png,599,780,106.8,87,559,4833.98,244.45,34.31,False
172,Class_11_Figure 9.2.png,762,496,64.28,12,80,2475.04,246.43,31.47,False
173,Class_11_Figure 9.3.png,401,518,206.29,22,177,4912.13,234.16,45.29,False
174,Class_11_Figure 9.3a.png,409,146,52.74,4,30,3261.03,235.58,42.96,False
175,Class_11_Figure 9.3b.png,422,127,67.95,0,0,5282.4,230.27,48.46,False
176,Class_11_Figure 9.3c.png,412,118,41.55,6,46,4667.09,237.5,41.75,False
177,Class_11_Figure 9.3d.png,399,179,60.56,9,64,4490.91,236.95,43.5,False
178,Class_11_Figure 9.4.png,369,357,36.83,25,192,6154.84,244.53,38.51,False
179,Class_11_Figure 9.5.png,774,284,37.72,31,184,4915.53,246.19,37.55,False
180,Class_11_Table 1.1.png,801,345,64.25,33,328,3744.04,221.99,36.45,False
181,Class_11_Table 11.1.png,598,714,147.75,189,1405,5912.05,218.94,35.6,False
182,Class_11_Table 14.1.png,787,196,38.94,48,281,4658.62,223.76,46.36,False
183,Class_11_Table 15.1.png,559,226,35.33,23,128,3670.31,219.64,41.31,False
184,Class_11_Table 2.1.png,797,480,115.38,77,693,4580.06,218.66,38.9,False
185,Class_11_Table 3.1.png,836,413,91.06,85,648,4174.26,224.63,38.32,False
186,Class_11_Table 4.1.png,635,190,45.34,49,346,5997.43,218.54,39.32,False
187,Class_11_Table 4.2.png,748,712,184.16,124,993,5471.41,217.79,38.6,False
188,Class_11_Table 9.1.png,381,338,53.04,55,334,7285.32,216.47,46.16,False
189,Class_11_Table 9.2.png,385,264,33.8,29,193,5124.54,221.03,39.72,False
190,Class_11_Table 9.3.png,370,271,40.79,38,316,6965.19,217.66,43.59,False
191,Class_11_Table 9.4.png,319,245,29.81,26,159,4580.15,221.45,41.24,False
192,Class_11_Table 9.5.png,313,324,30.66,26,230,6068.87,219.87,42.33,False
