,filename,width,height,file_size_kb
0,Class_12_Figure 1.1.jpg,767,706,79.84765625
1,Class_12_Figure 1.10.jpg,494,776,84.435546875
2,Class_12_Figure 1.11.jpg,439,807,65.3232421875
3,Class_12_Figure 1.12a.jpg,303,459,30.2822265625
4,Class_12_Figure 1.12b.jpg,263,456,34.333984375
5,Class_12_Figure 1.12c.jpg,336,454,34.4384765625
6,Class_12_Figure 1.12d.jpg,411,280,26.966796875
7,Class_12_Figure 1.12e.jpg,333,288,23.2919921875
8,Class_12_Figure 1.13.jpg,953,574,107.0830078125
9,Class_12_Figure 1.14.jpg,290,882,57.7021484375
10,Class_12_Figure 1.15.jpg,854,869,151.7109375
11,Class_12_Figure 1.2.jpg,461,765,51.7939453125
12,Class_12_Figure 1.3.jpg,925,802,214.0654296875
13,Class_12_Figure 1.4.jpg,692,291,67.1083984375
14,Class_12_Figure 1.5.jpg,300,838,73.193359375
15,Class_12_Figure 1.6.jpg,887,363,80.4111328125
16,Class_12_Figure 1.7.jpg,870,611,105.029296875
17,Class_12_Figure 1.8.jpg,852,821,146.4306640625
18,Class_12_Figure 1.9.jpg,299,845,55.0615234375
19,Class_12_Figure 10.1.png,970,662,532.4541015625
20,Class_12_Figure 10.2.png,1260,626,948.1064453125
21,Class_12_Figure 10.3.png,527,541,188.8251953125
22,Class_12_Figure 11.1.png,1172,321,41.03125
23,Class_12_Figure 11.2.png,1287,813,96.7216796875
24,Class_12_Figure 11.3.png,453,510,69.37109375
25,Class_12_Figure 11.4.png,905,450,486.6259765625
26,Class_12_Figure 11.5.png,402,497,139.86328125
27,Class_12_Figure 12.1.png,1012,877,267.4873046875
28,Class_12_Figure 12.2.png,901,672,86.521484375
29,Class_12_Figure 12.3.png,1026,647,254.6513671875
30,Class_12_Figure 12.4a.png,1047,423,68.103515625
31,Class_12_Figure 12.4b.png,1062,412,49.7841796875
32,Class_12_Figure 12.4c.png,1022,241,29.1650390625
33,Class_12_Figure 12.4d.png,1012,442,43.4599609375
34,Class_12_Figure 13.1.png,917,907,202.7666015625
35,Class_12_Figure 13.2.png,672,683,72.490234375
36,Class_12_Figure 2.10.jpg,566,613,65.873046875
37,Class_12_Figure 2.11.jpg,984,728,123.95703125
38,Class_12_Figure 2.12.jpg,573,577,87.8173828125
39,Class_12_Figure 2.1a.jpg,983,731,133.830078125
40,Class_12_Figure 2.1b.jpg,816,705,122.0126953125
41,Class_12_Figure 2.2.jpg,972,739,284.8564453125
42,Class_12_Figure 2.3a.jpg,1256,782,173.537109375
43,Class_12_Figure 2.3b.jpg,1070,655,105.74609375
44,Class_12_Figure 2.4.jpg,1015,756,153.826171875
45,Class_12_Figure 2.5.jpg,699,607,118.6201171875
46,Class_12_Figure 2.6.jpg,664,824,76.3857421875
47,Class_12_Figure 2.7.jpg,745,616,137.0576171875
48,Class_12_Figure 2.8.jpg,1312,696,156.4833984375
49,Class_12_Figure 2.9.jpg,904,879,170.41015625
50,Class_12_Figure 3.1a.jpg,635,299,27.0849609375
51,Class_12_Figure 3.1b.jpg,653,485,60.916015625
52,Class_12_Figure 3.2.jpg,509,634,76.94140625
53,Class_12_Figure 3.3.jpg,506,439,36.0732421875
54,Class_12_Figure 3.4a.jpg,664,676,71.0205078125
55,Class_12_Figure 3.4b.jpg,643,648,65.080078125
56,Class_12_Figure 4.1.jpg,416,885,73.013671875
57,Class_12_Figure 4.10.jpg,434,494,42.982421875
58,Class_12_Figure 4.11.jpg,684,856,126.19140625
59,Class_12_Figure 4.12ab.jpg,474,459,36.80859375
60,Class_12_Figure 4.12c.jpg,467,175,23.2626953125
61,Class_12_Figure 4.13a.jpg,551,251,20.7333984375
62,Class_12_Figure 4.13b.jpg,413,680,52.5
63,Class_12_Figure 4.14.jpg,915,364,49.0
64,Class_12_Figure 4.15.jpg,920,566,96.7392578125
65,Class_12_Figure 4.16.jpg,808,388,73.283203125
66,Class_12_Figure 4.17.jpg,398,629,55.5576171875
67,Class_12_Figure 4.2.jpg,407,836,86.7890625
68,Class_12_Figure 4.3.jpg,484,673,49.2138671875
69,Class_12_Figure 4.4.jpg,382,875,83.3447265625
70,Class_12_Figure 4.5.jpg,839,454,70.537109375
71,Class_12_Figure 4.6.jpg,364,881,83.5458984375
72,Class_12_Figure 4.7.jpg,461,702,64.7646484375
73,Class_12_Figure 4.8.jpg,842,494,76.2099609375
74,Class_12_Figure 4.9.jpg,781,833,136.75
75,Class_12_Figure 5.1.jpg,1052,346,38.84765625
76,Class_12_Figure 5.10.jpg,809,631,87.3486328125
77,Class_12_Figure 5.11.jpg,971,729,81.4287109375
78,Class_12_Figure 5.12.jpg,854,396,60.1796875
79,Class_12_Figure 5.13.jpg,689,522,64.1533203125
80,Class_12_Figure 5.14.jpg,945,733,91.3876953125
81,Class_12_Figure 5.15.jpg,605,612,80.3056640625
82,Class_12_Figure 5.16.jpg,825,886,145.18359375
83,Class_12_Figure 5.2.jpg,1109,567,73.9599609375
84,Class_12_Figure 5.3.jpg,672,734,75.79296875
85,Class_12_Figure 5.4a.jpg,503,475,43.83984375
86,Class_12_Figure 5.4b.jpg,538,427,82.3388671875
87,Class_12_Figure 5.5.jpg,963,865,126.8603515625
88,Class_12_Figure 5.6.jpg,487,836,81.57421875
89,Class_12_Figure 5.7.jpg,1138,591,110.4404296875
90,Class_12_Figure 5.8.jpg,512,615,46.259765625
91,Class_12_Figure 5.9.jpg,1082,373,55.69140625
92,Class_12_Figure 6.1.jpg,654,623,65.5947265625
93,Class_12_Figure 6.10.jpg,850,892,130.759765625
94,Class_12_Figure 6.11.jpg,733,700,103.1796875
95,Class_12_Figure 6.2.jpg,818,825,116.9462890625
96,Class_12_Figure 6.3.jpg,452,838,83.42578125
97,Class_12_Figure 6.4.jpg,1012,370,166.677734375
98,Class_12_Figure 6.5.jpg,860,243,54.505859375
99,Class_12_Figure 6.6.jpg,914,730,125.3564453125
100,Class_12_Figure 6.7.jpg,413,840,102.2890625
101,Class_12_Figure 6.8.jpg,900,866,95.740234375
102,Class_12_Figure 6.9.jpg,914,842,138.7734375
103,Class_12_Figure 7.1.jpg,850,884,171.31640625
104,Class_12_Figure 7.10.jpg,344,295,18.0947265625
105,Class_12_Figure 7.11.jpg,347,361,36.4130859375
106,Class_12_Figure 7.2.jpg,330,554,41.78515625
107,Class_12_Figure 7.3.jpg,542,328,37.2060546875
108,Class_12_Figure 7.4.jpg,662,570,66.5615234375
109,Class_12_Figure 7.5.jpg,367,553,46.107421875
110,Class_12_Figure 7.6.jpg,687,806,95.0810546875
111,Class_12_Figure 7.7.jpg,379,305,18.796875
112,Class_12_Figure 7.8.jpg,276,303,19.1650390625
113,Class_12_Figure 7.9.jpg,387,318,17.2958984375
114,Class_12_Figure 8.1a.png,381,162,39.0791015625
115,Class_12_Figure 8.1b.png,376,166,23.58984375
116,Class_12_Figure 8.1c.png,665,343,23.3642578125
117,Class_12_Figure 8.2a.png,301,381,112.451171875
118,Class_12_Figure 8.2b.png,287,373,110.12109375
119,Class_12_Figure 8.2c.png,547,313,210.583984375
120,Class_12_Figure 8.3a.png,400,435,77.6357421875
121,Class_12_Figure 8.3b.png,616,402,65.3173828125
122,Class_12_Figure 8.4.png,501,441,245.61328125
123,Class_12_Figure 8.5.png,500,448,468.6640625
124,Class_12_Figure 8.6.png,548,458,421.380859375
125,Class_12_Figure 8.7.png,487,370,231.4697265625
126,Class_12_Figure 8.8.png,727,653,127.1708984375
127,Class_12_Figure 9.1.png,1227,862,186.1181640625
128,Class_12_Figure 9.2.png,918,918,223.6923828125
129,Class_12_Figure 9.3.png,597,516,75.3359375
130,Class_12_Figure 9.4.png,577,700,102.8134765625
131,Class_12_Figure 9.5.png,360,770,257.150390625
132,Class_12_Figure 9.6.png,892,732,97.0
133,Class_12_Figure 9.7a.png,378,391,60.2392578125
134,Class_12_Figure 9.7b.png,502,388,88.9541015625
